,問題,回答,,,
0,嗨，你好嗎？,我很好。你自己呢？,,,
1,我很好。你自己呢？,我很好。謝謝你的詢問。,,,
2,我很好。謝謝你的詢問。,沒問題。你過得怎麼樣？,,,
3,沒問題。你過得怎麼樣？,我很棒。你呢？,,,
4,我很棒。你呢？,我一直都很好。我現在在學校。,,,
5,我一直都很好。我現在在學校。,你就讀什麼學校？,,,
6,你就讀什麼學校？,我去pcc。,,,
7,我去pcc。,你喜歡那裡嗎？,,,
8,你喜歡那裡嗎？,沒關係。這是一個非常大的校園。,,,
9,沒關係。這是一個非常大的校園。,祝你學業順利。,,,
10,祝你學業順利。,非常感謝。,,,
11,怎麼樣了？,我很好。你呢？,,,
12,我很好。你呢？,從來沒有更好，謝謝。,,,
13,從來沒有更好，謝謝。,你最近過得怎麼樣？,,,
14,你最近過得怎麼樣？,我其實已經很好了。你？,,,
15,我其實已經很好了。你？,其實我現在在學校。,,,
16,其實我現在在學校。,你就讀哪所學校？,,,
17,你就讀哪所學校？,我現在正在參加pcc。,,,
18,我現在正在參加pcc。,你在那裡玩得開心嗎？,,,
19,你在那裡玩得開心嗎？,不算太差。那裡有很多人。,,,
20,不算太差。那裡有很多人。,祝你好運。,,,
21,祝你好運。,謝謝。,,,
22,你今天怎麼樣？,我很好。你呢？,,,
23,我很好。你呢？,我真的很可愛，謝謝你。,,,
24,我真的很可愛，謝謝你。,你一切都好嗎？,,,
25,你一切都好嗎？,我也沒有好過。你自己呢？,,,
26,我也沒有好過。你自己呢？,我最近開始上學了。,,,
27,我最近開始上學了。,你要去哪裡上學？,,,
28,你要去哪裡上學？,我要去pcc,,,
29,我要去pcc,目前感覺如何？,,,
30,目前感覺如何？,我喜歡它，到目前為止。我的課現在很好。,,,
31,我喜歡它，到目前為止。我的課現在很好。,祝你好運。,,,
32,今天真是糟糕的一天。,我知道。我想可能會下雨。,,,
33,我知道。我想可能會下雨。,現在是盛夏，今天應該不會下雨。,,,
34,現在是盛夏，今天應該不會下雨。,那會很奇怪。,,,
35,那會很奇怪。,是的，尤其是外面氣溫九十度。,,,
36,是的，尤其是外面氣溫九十度。,我知道，如果下雨而且外面很熱，那就太可怕了。,,,
37,我知道，如果下雨而且外面很熱，那就太可怕了。,是的，會的。,,,
38,是的，會的。,我真希望每天都不要那麼熱。,,,
39,我真希望每天都不要那麼熱。,我也是。我等不及冬天了。,,,
40,我也是。我等不及冬天了。,我也喜歡冬天，但有時會變得太冷。,,,
41,我也喜歡冬天，但有時會變得太冷。,我寧願冷也不願熱。,,,
42,我寧願冷也不願熱。,我也是。,,,
43,今天外面看起來不太好。,你說得對。我想稍後會下雨。,,,
44,你說得對。我想稍後會下雨。,仲夏時節，不應該下雨。,,,
45,仲夏時節，不應該下雨。,這似乎不對。,,,
46,這似乎不對。,考慮到外面的溫度超過九十度，這會很奇怪。,,,
47,考慮到外面的溫度超過九十度，這會很奇怪。,確切地說，如果開始下雨就不好了。太熱了。,,,
48,確切地說，如果開始下雨就不好了。太熱了。,我知道，你是完全正確的。,,,
49,我知道，你是完全正確的。,我希望有一天它會涼下來。,,,
50,我希望有一天它會涼下來。,這就是我的感覺，我希望冬天快點到來。,,,
51,這就是我的感覺，我希望冬天快點到來。,我喜歡冬天，但有時會很冷。,,,
52,我喜歡冬天，但有時會很冷。,我知道你的意思，但我寧願冷也不願熱。,,,
53,我知道你的意思，但我寧願冷也不願熱。,這正是我的感受。,,,
54,我希望今天是美好的一天。,那是真實的。我希望不要下雨。,,,
55,那是真實的。我希望不要下雨。,仲夏時節不會下雨。,,,
56,仲夏時節不會下雨。,如果現在就開始下雨，那就不太對勁了。,,,
57,如果現在就開始下雨，那就不太對勁了。,如果在九十度的天氣裡下雨那就奇怪了。,,,
58,如果在九十度的天氣裡下雨那就奇怪了。,現在下任何雨都是沒有意義的。,,,
59,現在下任何雨都是沒有意義的。,沒錯，確實會這樣。,,,
60,沒錯，確實會這樣。,我想讓它冷卻一些。,,,
61,我想讓它冷卻一些。,我知道你的意思，我等不及冬天了。,,,
62,我知道你的意思，我等不及冬天了。,冬天很棒。但我希望有時不要變得那麼冷。,,,
63,冬天很棒。但我希望有時不要變得那麼冷。,我寧願處理冬天而不是夏天。,,,
64,這真是美好的一天。,是的。,,,
65,是的。,看來很快就要下雨了。,,,
66,看來很快就要下雨了。,是的，我希望如此。,,,
67,是的，我希望如此。,這是為什麼？,,,
